DATA_REF;Visao;Modalidade;Porte;Beneficiarios_Ativos
2025-12;Médico-Hospitalar;FILANTROPIA;Médio;545038
2025-12;Médico-Hospitalar;FILANTROPIA;Pequeno;190682
2025-12;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;17212550
2025-12;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3224180
2025-12;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;917515
2025-12;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7286283
2025-12;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2025-12;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7233
2026-01;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2939095
2026-01;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1314627
2026-01;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;419159
2026-01;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13443890
2026-01;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;912034
2026-01;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;460025
2026-01;Médico-Hospitalar;AUTOGESTÃO;Grande;2874695
2026-01;Médico-Hospitalar;AUTOGESTÃO;Médio;1042236
2026-01;Médico-Hospitalar;AUTOGESTÃO;Pequeno;586124
2026-01;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12895881
2026-01;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4712374
2026-01;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1068145
2026-01;Médico-Hospitalar;FILANTROPIA;Grande;353707
2026-01;Médico-Hospitalar;FILANTROPIA;Médio;544333
2026-01;Médico-Hospitalar;FILANTROPIA;Pequeno;190352
2026-01;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;17183162
2026-01;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3214799
2026-01;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;911238
2026-01;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7294697
2026-01;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2026-01;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7183
2026-02;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2937383
2026-02;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1314467
2026-02;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;416511
2026-02;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13598741
2026-02;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;895107
2026-02;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;461281
2026-02;Médico-Hospitalar;AUTOGESTÃO;Grande;2870089
2026-02;Médico-Hospitalar;AUTOGESTÃO;Médio;1061402
2026-02;Médico-Hospitalar;AUTOGESTÃO;Pequeno;568514
2026-02;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12848693
2026-02;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4706667
2026-02;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1065291
2026-02;Médico-Hospitalar;FILANTROPIA;Grande;345658
2026-02;Médico-Hospitalar;FILANTROPIA;Médio;545203
2026-02;Médico-Hospitalar;FILANTROPIA;Pequeno;190391
2026-02;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;17299267
2026-02;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3118487
2026-02;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;905208
2026-02;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7358463
2026-02;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2026-02;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7169
2026-03;Exclusivamente Odontológico;Odontologia de Grupo;Grande;13670364
2026-03;Exclusivamente Odontológico;Odontologia de Grupo;Médio;906165
2026-03;Exclusivamente Odontológico;Odontologia de Grupo;Pequeno;468159
2026-03;Médico-Hospitalar;Autogestão;Grande;2855487
2026-03;Médico-Hospitalar;Autogestão;Médio;1165161
2026-03;Médico-Hospitalar;Autogestão;Pequeno;555565
2026-03;Médico-Hospitalar;Cooperativa Médica;Grande;13441663
2026-03;Médico-Hospitalar;Cooperativa Médica;Médio;4603979
2026-03;Médico-Hospitalar;Cooperativa Médica;Pequeno;1060079
2026-03;Médico-Hospitalar;Filantropia;Grande;417106
2026-03;Médico-Hospitalar;Filantropia;Médio;610795
2026-03;Médico-Hospitalar;Filantropia;Pequeno;153828
2026-03;Médico-Hospitalar;Medicina de Grupo;Grande;29272051
2026-03;Médico-Hospitalar;Medicina de Grupo;Médio;2931890
2026-03;Médico-Hospitalar;Medicina de Grupo;Pequeno;951290
2026-03;Médico-Hospitalar;Seguradora Especializada em Saúde;Grande;11129615
2026-03;Médico-Hospitalar;Seguradora Especializada em Saúde;Pequeno;7102
